item_id,title,category,brand,price,avg_rating
I0000,NovaTech Electronics Item 0,Electronics,CloudWear,803.64,3.24
I0001,ZenBrand Home Item 1,Home,CloudWear,1872.05,4.68
I0002,ZenBrand Sports Item 2,Sports,AlphaX,71.51,3.76
I0003,CloudWear Books Item 3,Books,BrightLife,385.63,3.79
I0004,AlphaX Sports Item 4,Sports,AlphaX,1310.13,3.26
I0005,NovaTech Books Item 5,Books,PeakGear,252.28,3.83
I0006,AlphaX Beauty Item 6,Beauty,ZenBrand,1017.61,3.55
I0007,AlphaX Toys Item 7,Toys,NovaTech,67.97,3.33
I0008,NovaTech Electronics Item 8,Electronics,ZenBrand,399.18,4.83
I0009,AlphaX Toys Item 9,Toys,CloudWear,769.4,4.99
I0010,BrightLife Clothing Item 10,Clothing,ZenBrand,333.81,3.78
I0011,CloudWear Sports Item 11,Sports,CloudWear,910.68,3.31
I0012,NovaTech Electronics Item 12,Electronics,ZenBrand,1484.18,4.16
I0013,BrightLife Books Item 13,Books,NovaTech,1249.45,4.12
I0014,ZenBrand Beauty Item 14,Beauty,BrightLife,1864.61,4.98
I0015,PeakGear Sports Item 15,Sports,CloudWear,1657.62,4.21
I0016,CloudWear Sports Item 16,Sports,CloudWear,958.48,4.41
I0017,NovaTech Electronics Item 17,Electronics,ZenBrand,23.94,4.39
I0018,PeakGear Electronics Item 18,Electronics,ZenBrand,1087.58,4.59
I0019,BrightLife Clothing Item 19,Clothing,CloudWear,1093.37,3.58
I0020,BrightLife Electronics Item 20,Electronics,ZenBrand,500.73,4.75
I0021,PeakGear Home Item 21,Home,AlphaX,531.57,3.61
I0022,CloudWear Books Item 22,Books,AlphaX,534.12,3.2
I0023,AlphaX Home Item 23,Home,BrightLife,828.5,4.34
I0024,PeakGear Sports Item 24,Sports,NovaTech,221.0,3.39
I0025,CloudWear Toys Item 25,Toys,CloudWear,234.75,4.34
I0026,ZenBrand Home Item 26,Home,BrightLife,59.23,3.74
I0027,ZenBrand Beauty Item 27,Beauty,ZenBrand,566.02,4.54
I0028,AlphaX Home Item 28,Home,PeakGear,1832.78,4.87
I0029,NovaTech Beauty Item 29,Beauty,AlphaX,1132.31,4.38
I0030,PeakGear Sports Item 30,Sports,PeakGear,214.44,4.46
I0031,ZenBrand Sports Item 31,Sports,AlphaX,1650.6,4.75
I0032,AlphaX Beauty Item 32,Beauty,ZenBrand,586.44,4.28
I0033,AlphaX Beauty Item 33,Beauty,CloudWear,1425.14,3.45
I0034,ZenBrand Clothing Item 34,Clothing,BrightLife,592.86,3.29
I0035,BrightLife Home Item 35,Home,BrightLife,280.54,3.42
I0036,PeakGear Clothing Item 36,Clothing,NovaTech,693.28,4.72
I0037,NovaTech Clothing Item 37,Clothing,NovaTech,1834.18,3.27
I0038,ZenBrand Home Item 38,Home,AlphaX,1950.35,4.83
I0039,ZenBrand Home Item 39,Home,CloudWear,1690.14,3.7
I0040,AlphaX Electronics Item 40,Electronics,BrightLife,1227.83,3.43
I0041,CloudWear Sports Item 41,Sports,NovaTech,1809.61,3.65
I0042,BrightLife Books Item 42,Books,BrightLife,1962.84,4.18
I0043,NovaTech Toys Item 43,Toys,NovaTech,79.29,3.88
I0044,CloudWear Sports Item 44,Sports,BrightLife,153.27,4.56
I0045,PeakGear Books Item 45,Books,CloudWear,822.02,3.1
I0046,NovaTech Books Item 46,Books,CloudWear,1597.03,3.0
I0047,ZenBrand Books Item 47,Books,CloudWear,966.32,4.7
I0048,ZenBrand Electronics Item 48,Electronics,BrightLife,1138.34,3.31
I0049,ZenBrand Electronics Item 49,Electronics,PeakGear,949.19,4.91
I0050,AlphaX Electronics Item 50,Electronics,NovaTech,800.94,3.93
I0051,AlphaX Sports Item 51,Sports,AlphaX,826.79,3.65
I0052,AlphaX Beauty Item 52,Beauty,NovaTech,1592.07,4.0
I0053,BrightLife Sports Item 53,Sports,ZenBrand,51.49,3.84
I0054,CloudWear Home Item 54,Home,NovaTech,1223.1,3.85
I0055,BrightLife Clothing Item 55,Clothing,PeakGear,1643.87,4.03
I0056,BrightLife Electronics Item 56,Electronics,PeakGear,1036.89,3.15
I0057,PeakGear Beauty Item 57,Beauty,ZenBrand,1979.02,4.01
I0058,PeakGear Home Item 58,Home,NovaTech,879.25,3.92
I0059,ZenBrand Sports Item 59,Sports,PeakGear,168.92,4.27
I0060,PeakGear Home Item 60,Home,ZenBrand,1056.86,4.68
I0061,NovaTech Toys Item 61,Toys,AlphaX,1334.32,4.9
I0062,NovaTech Electronics Item 62,Electronics,CloudWear,1963.33,3.88
I0063,AlphaX Beauty Item 63,Beauty,CloudWear,1686.12,4.65
I0064,NovaTech Clothing Item 64,Clothing,AlphaX,515.78,4.77
I0065,CloudWear Clothing Item 65,Clothing,PeakGear,1263.42,4.07
I0066,ZenBrand Home Item 66,Home,AlphaX,1200.31,3.46
I0067,PeakGear Electronics Item 67,Electronics,AlphaX,40.08,4.65
I0068,PeakGear Books Item 68,Books,CloudWear,1874.78,4.71
I0069,BrightLife Toys Item 69,Toys,NovaTech,139.99,3.67
I0070,CloudWear Home Item 70,Home,AlphaX,1040.37,3.78
I0071,CloudWear Sports Item 71,Sports,BrightLife,1000.62,4.86
I0072,NovaTech Clothing Item 72,Clothing,NovaTech,947.96,4.16
I0073,ZenBrand Electronics Item 73,Electronics,PeakGear,528.62,4.55
I0074,NovaTech Toys Item 74,Toys,PeakGear,1072.16,3.28
I0075,AlphaX Clothing Item 75,Clothing,BrightLife,865.02,4.08
I0076,BrightLife Home Item 76,Home,BrightLife,288.13,3.99
I0077,AlphaX Toys Item 77,Toys,CloudWear,285.21,4.42
I0078,BrightLife Toys Item 78,Toys,NovaTech,1102.27,4.82
I0079,BrightLife Toys Item 79,Toys,PeakGear,1234.9,3.91
I0080,ZenBrand Toys Item 80,Toys,BrightLife,1252.42,3.68
I0081,AlphaX Home Item 81,Home,CloudWear,867.37,4.02
I0082,ZenBrand Toys Item 82,Toys,AlphaX,179.75,3.35
I0083,CloudWear Beauty Item 83,Beauty,PeakGear,505.63,3.42
I0084,ZenBrand Beauty Item 84,Beauty,CloudWear,687.93,4.12
I0085,AlphaX Home Item 85,Home,NovaTech,1755.83,4.62
I0086,PeakGear Home Item 86,Home,CloudWear,102.52,3.81
I0087,BrightLife Home Item 87,Home,AlphaX,1523.03,3.5
I0088,ZenBrand Electronics Item 88,Electronics,ZenBrand,1573.61,3.68
I0089,BrightLife Electronics Item 89,Electronics,ZenBrand,1760.36,3.06
I0090,AlphaX Sports Item 90,Sports,ZenBrand,1751.77,5.0
I0091,CloudWear Home Item 91,Home,CloudWear,1314.23,3.1
I0092,CloudWear Home Item 92,Home,ZenBrand,1955.91,4.09
I0093,CloudWear Books Item 93,Books,BrightLife,1777.68,4.85
I0094,CloudWear Home Item 94,Home,BrightLife,28.62,3.35
I0095,CloudWear Home Item 95,Home,AlphaX,1965.06,4.09
I0096,AlphaX Toys Item 96,Toys,AlphaX,326.38,4.08
I0097,ZenBrand Electronics Item 97,Electronics,AlphaX,272.61,3.64
I0098,BrightLife Sports Item 98,Sports,AlphaX,1494.0,3.07
I0099,BrightLife Toys Item 99,Toys,PeakGear,149.66,4.08
I0100,AlphaX Beauty Item 100,Beauty,AlphaX,165.28,4.84
I0101,NovaTech Beauty Item 101,Beauty,ZenBrand,350.42,4.83
I0102,AlphaX Clothing Item 102,Clothing,PeakGear,714.66,4.53
I0103,ZenBrand Sports Item 103,Sports,NovaTech,693.3,4.97
I0104,PeakGear Electronics Item 104,Electronics,BrightLife,1214.37,3.71
I0105,ZenBrand Sports Item 105,Sports,ZenBrand,329.44,4.01
I0106,AlphaX Sports Item 106,Sports,NovaTech,824.15,4.04
I0107,BrightLife Home Item 107,Home,AlphaX,1682.38,4.37
I0108,CloudWear Home Item 108,Home,ZenBrand,746.35,4.76
I0109,PeakGear Home Item 109,Home,AlphaX,1510.49,4.15
I0110,PeakGear Clothing Item 110,Clothing,NovaTech,324.7,3.37
I0111,CloudWear Clothing Item 111,Clothing,NovaTech,468.22,4.44
I0112,ZenBrand Beauty Item 112,Beauty,ZenBrand,1106.74,3.91
I0113,BrightLife Home Item 113,Home,PeakGear,69.69,3.86
I0114,PeakGear Home Item 114,Home,AlphaX,1866.84,3.97
I0115,NovaTech Beauty Item 115,Beauty,AlphaX,1972.01,4.58
I0116,NovaTech Toys Item 116,Toys,AlphaX,1502.42,4.43
I0117,ZenBrand Sports Item 117,Sports,CloudWear,1433.18,3.92
I0118,CloudWear Sports Item 118,Sports,BrightLife,1196.23,3.54
I0119,NovaTech Books Item 119,Books,ZenBrand,1681.42,3.84
I0120,ZenBrand Electronics Item 120,Electronics,ZenBrand,1665.93,3.98
I0121,ZenBrand Electronics Item 121,Electronics,ZenBrand,552.83,3.05
I0122,PeakGear Home Item 122,Home,ZenBrand,690.63,3.33
I0123,BrightLife Home Item 123,Home,PeakGear,746.44,3.69
I0124,PeakGear Books Item 124,Books,PeakGear,1940.81,4.12
I0125,AlphaX Beauty Item 125,Beauty,CloudWear,664.38,3.99
I0126,PeakGear Sports Item 126,Sports,PeakGear,1182.97,3.01
I0127,BrightLife Books Item 127,Books,BrightLife,227.98,4.81
I0128,CloudWear Toys Item 128,Toys,CloudWear,208.96,4.39
I0129,AlphaX Clothing Item 129,Clothing,PeakGear,1685.36,3.72
I0130,BrightLife Sports Item 130,Sports,ZenBrand,320.64,3.06
I0131,CloudWear Books Item 131,Books,NovaTech,1499.72,4.54
I0132,NovaTech Toys Item 132,Toys,AlphaX,1340.7,4.42
I0133,BrightLife Electronics Item 133,Electronics,CloudWear,679.19,3.29
I0134,ZenBrand Books Item 134,Books,AlphaX,83.01,4.55
I0135,BrightLife Sports Item 135,Sports,CloudWear,386.55,3.22
I0136,BrightLife Clothing Item 136,Clothing,BrightLife,534.45,3.34
I0137,PeakGear Home Item 137,Home,NovaTech,1337.4,4.01
I0138,PeakGear Electronics Item 138,Electronics,NovaTech,722.65,3.3
I0139,ZenBrand Home Item 139,Home,PeakGear,1876.27,4.29
I0140,PeakGear Home Item 140,Home,PeakGear,1305.91,4.76
I0141,CloudWear Clothing Item 141,Clothing,PeakGear,552.77,4.34
I0142,AlphaX Beauty Item 142,Beauty,ZenBrand,1146.64,3.94
I0143,ZenBrand Home Item 143,Home,NovaTech,154.22,3.85
I0144,AlphaX Home Item 144,Home,BrightLife,928.97,4.93
I0145,AlphaX Toys Item 145,Toys,ZenBrand,450.42,4.42
I0146,ZenBrand Toys Item 146,Toys,PeakGear,1353.52,3.41
I0147,NovaTech Home Item 147,Home,AlphaX,355.43,4.05
I0148,BrightLife Books Item 148,Books,AlphaX,286.37,4.16
I0149,NovaTech Toys Item 149,Toys,NovaTech,349.9,4.25
I0150,BrightLife Sports Item 150,Sports,NovaTech,650.14,3.69
I0151,ZenBrand Books Item 151,Books,AlphaX,722.22,4.33
I0152,PeakGear Sports Item 152,Sports,PeakGear,110.39,3.09
I0153,CloudWear Clothing Item 153,Clothing,CloudWear,1597.6,4.71
I0154,ZenBrand Electronics Item 154,Electronics,ZenBrand,900.44,4.15
I0155,PeakGear Toys Item 155,Toys,ZenBrand,1238.43,4.75
I0156,CloudWear Home Item 156,Home,AlphaX,1714.75,3.36
I0157,AlphaX Clothing Item 157,Clothing,PeakGear,1408.11,4.58
I0158,AlphaX Sports Item 158,Sports,BrightLife,804.23,4.76
I0159,PeakGear Beauty Item 159,Beauty,BrightLife,344.04,3.66
I0160,PeakGear Home Item 160,Home,NovaTech,647.9,4.49
I0161,CloudWear Toys Item 161,Toys,AlphaX,1289.14,4.08
I0162,PeakGear Toys Item 162,Toys,PeakGear,1585.3,3.01
I0163,CloudWear Electronics Item 163,Electronics,AlphaX,1237.62,4.73
I0164,CloudWear Electronics Item 164,Electronics,NovaTech,677.47,4.76
I0165,PeakGear Electronics Item 165,Electronics,CloudWear,1095.47,3.32
I0166,CloudWear Books Item 166,Books,BrightLife,402.11,4.55
I0167,BrightLife Beauty Item 167,Beauty,CloudWear,141.42,4.8
I0168,NovaTech Clothing Item 168,Clothing,PeakGear,231.3,4.86
I0169,AlphaX Clothing Item 169,Clothing,PeakGear,125.01,3.25
I0170,CloudWear Beauty Item 170,Beauty,NovaTech,1455.12,4.01
I0171,NovaTech Beauty Item 171,Beauty,ZenBrand,443.69,4.27
I0172,BrightLife Sports Item 172,Sports,BrightLife,84.2,3.03
I0173,PeakGear Home Item 173,Home,CloudWear,1962.85,4.26
I0174,PeakGear Clothing Item 174,Clothing,ZenBrand,1500.55,4.44
I0175,AlphaX Sports Item 175,Sports,PeakGear,473.24,3.92
I0176,ZenBrand Books Item 176,Books,PeakGear,1159.16,3.66
I0177,BrightLife Sports Item 177,Sports,ZenBrand,900.99,3.84
I0178,NovaTech Beauty Item 178,Beauty,NovaTech,1762.97,3.87
I0179,ZenBrand Clothing Item 179,Clothing,NovaTech,364.13,4.15
I0180,AlphaX Sports Item 180,Sports,NovaTech,1853.05,4.79
I0181,BrightLife Books Item 181,Books,ZenBrand,1597.17,3.34
I0182,AlphaX Clothing Item 182,Clothing,ZenBrand,529.3,4.09
I0183,PeakGear Books Item 183,Books,NovaTech,799.99,3.76
I0184,CloudWear Books Item 184,Books,BrightLife,581.18,3.12
I0185,AlphaX Clothing Item 185,Clothing,ZenBrand,740.97,4.58
I0186,CloudWear Beauty Item 186,Beauty,PeakGear,1745.47,4.16
I0187,AlphaX Beauty Item 187,Beauty,BrightLife,1290.1,4.92
I0188,NovaTech Electronics Item 188,Electronics,BrightLife,1992.51,3.78
I0189,CloudWear Books Item 189,Books,AlphaX,1129.87,3.5
I0190,AlphaX Books Item 190,Books,BrightLife,232.73,3.6
I0191,AlphaX Electronics Item 191,Electronics,ZenBrand,1604.76,4.77
I0192,NovaTech Clothing Item 192,Clothing,BrightLife,306.99,3.32
I0193,PeakGear Beauty Item 193,Beauty,ZenBrand,379.29,3.06
I0194,NovaTech Beauty Item 194,Beauty,AlphaX,396.63,3.16
I0195,NovaTech Toys Item 195,Toys,PeakGear,847.8,4.41
I0196,ZenBrand Beauty Item 196,Beauty,ZenBrand,743.15,4.04
I0197,CloudWear Sports Item 197,Sports,BrightLife,276.21,4.1
I0198,NovaTech Sports Item 198,Sports,BrightLife,142.67,3.38
I0199,BrightLife Toys Item 199,Toys,NovaTech,1765.52,4.03
